WWW.GUERRADASFINANCAS.COM,,,,
,TICKER,LOGO,VARIAÇÃO,COTAÇÃO
,Papel,,,#N/A
,ENEV3,,"-0,08","R$ 12,00"
,LVTC3,,"-1,73","R$ 3,40"
,HAPV3,,"1,27","R$ 637,00"
,CALI3,,0,"R$ 25,00"
,BRFS3,,"0,04","R$ 24,95"
,CLSA3,,"-0,1","R$ 9,84"
,DOHL3,,0,"R$ 8,00"
,NGRD3,,"-1,93","R$ 27,46"
,LWSA3,,"-1,41","R$ 4,20"
,AURE3,,"0,1","R$ 9,98"
,SEER3,,"-3,65","R$ 6,60"
,HBSA3,,"-0,31","R$ 3,20"
,APER3,,,#N/A
,CRFB3,,"-1,05","R$ 6,61"
,MAPT4,,0,"R$ 5,00"
,TEND3,,"-4,18","R$ 16,27"
,OFSA3,,"1,82","R$ 22,40"
,MAPT3,,0,"R$ 4,21"
,BIOM3,,"-3,34","R$ 9,25"
,DOHL4,,"0,25","R$ 4,00"
,BAHI3,,0,"R$ 4,80"
,DTCY3,,0,"R$ 4,10"
,MGLU3,,"-0,83","R$ 1.785,00"
,MRVE3,,"-7,07","R$ 6,44"
,PTBL3,,"0,49","R$ 4,08"
,MNDL3,,0,"R$ 15,82"
,CBEE3,,"-12,01","R$ 11,43"
,ESPA3,,"-2,04","R$ 0,96"
,AMBP3,,"8,13","R$ 168,31"
,MRFG3,,"8,26","R$ 16,90"
,RCSL3,,"-0,25","R$ 3,96"
,ALPK3,,0,"R$ 2,77"
,SIMH3,,"-1,94","R$ 5,05"
,LIGT3,,"-6,07","R$ 4,33"
,RNEW11,,"-0,68","R$ 2,94"
,RNEW3,,-1,"R$ 0,99"
,RNEW4,,"1,02","R$ 0,99"
,ZAMP3,,0,"R$ 2,80"
,ANIM3,,"-1,69","R$ 2,32"
,MEAL3,,"-5,93","R$ 1,27"
,ENJU3,,"-4,13","R$ 1,16"
,AZEV3,,"-1,69","R$ 1,16"
,COGN3,,"-4,26","R$ 1,35"
,AZEV4,,"-1,71","R$ 1,15"
,QUAL3,,"-0,44","R$ 2,27"
,BLUT3,,,#N/A
,AALR3,,"-4,38","R$ 14,20"
,TELB3,,"3,52","R$ 12,95"
,RCSL4,,"-3,53","R$ 1,64"
,CBAV3,,"-4,09","R$ 4,92"
,EPAR3,,"-4,01","R$ 5,26"
,NORD3,,0,"R$ 7,50"
,ADHM3,,,#N/A
,MOVI3,,"-6,13","R$ 6,13"
,ALPA4,,"-0,15","R$ 6,77"
,ALPA3,,"-1,48","R$ 6,01"
,KRSA3,,0,"R$ 6,40"
,GSHP3,,0,"R$ 7,50"
,HETA4,,"7,82","R$ 6,48"
,TELB4,,"2,6","R$ 7,90"
,MLAS3,,"-5,19","R$ 1,46"
,AERI3,,"-0,54","R$ 5,49"
,SOMA3,,,#N/A
,CVCB3,,"5,99","R$ 2,30"
,MBLY3,,0,"R$ 2,09"
,BRKM3,,"-0,98","R$ 15,20"
,BRKM5,,"-1,64","R$ 15,00"
,CEED3,,0,"R$ 13,99"
,GFSA3,,"-4,76","R$ 1,40"
,FIEI3,,0,"R$ 11,00"
,DASA3,,"-5,29","R$ 2,15"
,BRKM6,,0,"R$ 11,03"
,WEST3,,"-1,41","R$ 0,70"
,TCSA3,,"-3,57","R$ 1,35"
,BLUT4,,,#N/A
,DOTZ3,,"-0,78","R$ 5,09"
,AVLL3,,"-0,35","R$ 2,83"
,CTSA3,,"-2,04","R$ 1,92"
,AZUL4,,"2,5","R$ 5,33"
,VIVR3,,"0,77","R$ 1,31"
,JFEN3,,5,"R$ 0,21"
,IFCM3,,0,"R$ 0,12"
,MWET3,,0,"R$ 9,53"
,ESTR4,,"-5,15","R$ 3,50"
,TRAD3,,"9,77","R$ 8,09"
,MWET4,,"-3,51","R$ 11,00"
,AGXY3,,"-2,44","R$ 0,40"
,PCAR3,,"-2,78","R$ 2,80"
,FHER3,,"-0,84","R$ 3,56"
,RDNI3,,"1,83","R$ 2,78"
,CTNM3,,0,"R$ 7,13"
,CTSA4,,"2,86","R$ 1,08"
,SNSY5,,"4,65","R$ 4,73"
,NEXP3,,"-14,08","R$ 3,54"
,BHIA3,,"-6,39","R$ 3,81"
,AMAR3,,"-3,19","R$ 0,91"
,RPMG3,,"-0,8","R$ 2,49"
,OIBR4,,"-1,97","R$ 8,95"
,TEKA3,,0,"R$ 42,50"
,SEQL3,,"1,51","R$ 3,37"
,TEKA4,,"-1,69","R$ 29,00"
,PMAM3,,"-0,92","R$ 1,08"
,OIBR3,,"-1,96","R$ 1,00"
,CTNM4,,0,"R$ 0,86"
,AMER3,,"180,06","R$ 9,41"
,SGPS3,,0,"R$ 1,64"
,OSXB3,,"-4,86","R$ 4,50"
,PDGR3,,0,"R$ 0,01"
,ATMP3,,"3,1","R$ 1,33"
,INEP4,,"-2,96","R$ 1,31"
,INEP3,,"-4,17","R$ 1,38"
,BDLL4,,0,"R$ 9,00"
,GOLL4,,"3,54","R$ 1,17"
,RSID3,,"1,27","R$ 3,20"
,IGBR3,,,#N/A
,HOOT4,,"14,04","R$ 2,60"
,LUPA3,,"2,29","R$ 1,34"
,HBTS5,,0,"R$ 30,99"
,AHEB5,,0,"R$ 41,00"
,TXRX4,,"4,17","R$ 2,25"
,TPIS3,,"-6,89","R$ 6,49"
,ATOM3,,"18,02","R$ 3,93"
,SHOW3,,"-6,67","R$ 0,84"
,CTKA4,,0,"R$ 19,00"
,CEDO4,,"3,12","R$ 24,10"
,AHEB3,,0,"R$ 38,00"
,VVEO3,,"-13,06","R$ 1,93"
,CTKA3,,"7,57","R$ 19,90"
,CEDO3,,0,"R$ 22,00"
,EUCA4,,"0,29","R$ 14,00"
,ETER3,,"0,19","R$ 5,15"
,HAGA4,,"2,29","R$ 1,34"
,EUCA3,,0,"R$ 16,00"
,MGEL4,,0,"R$ 7,50"
,POSI3,,"-5,38","R$ 5,63"
